Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count
1;10;20;48;0;370
2;10;30;46;0;360
3;10;40;44;0;350
4;10;49;42;0;341
5;10;57;40;0;333
6;10;66;39;0;324
7;10;75;37;0;315
8;11;84;34;0;305
9;12;91;31;0;297
10;12;100;29;0;288
11;12;106;28;0;282
