Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;10;20;48;0;370;6233404
2;10;28;46;0;362;6233404
3;10;35;45;0;355;6233404
4;10;45;43;0;345;6233404
5;10;53;42;0;337;6233404
6;10;62;40;0;328;6233404
7;10;72;38;0;318;6233404
8;10;82;36;0;308;6233404
9;10;90;35;0;300;6233404
10;10;99;33;0;291;6233404
11;10;107;31;0;283;6233404
12;10;115;30;0;275;6233404
13;10;121;29;0;269;6233404
14;10;127;28;0;263;6233404
15;10;135;27;0;255;6233404
16;10;142;26;0;248;6233404
17;10;148;25;0;242;6233404
18;10;155;24;0;235;6233404
19;10;161;23;0;229;6233404
20;10;166;23;0;224;6233404
21;10;170;23;0;220;6233404
22;10;174;22;0;216;6233404
23;10;178;22;0;212;6233404
24;10;182;22;0;208;6233404
25;10;187;21;0;203;6233404
26;10;191;21;0;199;6233404
27;10;195;21;0;195;6233404
28;10;200;21;0;190;6233404
29;11;205;20;0;184;6233404
30;11;210;19;0;179;6233404
31;11;213;19;0;176;6233404
