Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;10;20;48;0;370;[70700775]
2;10;30;46;0;360;[70700775]
3;10;40;44;0;350;[70700775]
4;11;48;40;0;341;[70700775]
5;11;57;38;0;332;[70700775]
6;11;66;37;0;323;[70700775]
7;11;73;36;0;316;[70700775]
8;11;82;34;0;307;[70700775]
9;11;89;33;0;300;[70700775]
10;11;99;31;0;290;[70700775]
11;12;105;28;0;283;[70700775]
12;12;112;27;0;276;[70700775]
13;13;119;24;0;268;[15372275]
14;13;125;23;0;262;[15372275]
15;13;132;22;0;255;[15372275]
16;12;137;23;11;251;[15372275]
17;12;145;22;11;243;[15372275]
18;12;151;21;11;237;[15372275]
19;11;156;22;9;233;[15372275]
20;11;163;21;9;226;[15372275]
21;11;167;20;9;222;[15372275]
22;11;174;19;9;215;[15372275]
23;11;177;19;9;212;[15372275]
24;11;183;18;9;206;[15372275]
25;10;186;20;9;204;[70700775]
26;10;190;20;9;200;[70700775]
27;10;194;20;9;196;[70700775]
28;10;199;19;9;191;[70700775]
29;10;204;19;9;186;[70700775]
30;10;208;19;9;182;[70700775]
31;11;214;17;9;175;[00110502]
32;9;221;19;18;170;[00110502]
33;9;226;19;18;165;[00110502]
34;8;231;22;20;161;[00110502]
35;8;236;21;20;156;[00110502]
36;7;242;24;18;151;[70700775]
37;6;247;29;20;147;[70700775]
38;6;253;29;20;141;[70700775]
39;6;258;30;20;136;[70700775]
40;5;265;36;22;130;[70700775]
41;5;272;35;22;123;[70700775]
42;5;281;34;22;114;[70700775]
