Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
2;11;30;43;0;359;60767604
2;11;30;43;0;359;60767604
3;12;40;39;0;348;60767604
4;12;49;37;0;339;60767604
5;12;57;36;0;331;60767604
6;12;67;34;0;321;60767604
7;12;76;32;0;312;60767604
8;13;85;29;0;302;60767604
9;14;93;27;0;293;60767604
10;15;101;24;0;284;60767604
11;18;110;19;0;272;60767604
12;21;119;16;0;260;60767604
13;24;126;13;0;250;60767604
14;21;133;13;1;246;60767604
15;23;140;11;1;237;60767604
16;20;143;12;4;237;60767601
17;15;146;15;4;239;75574321
18;16;151;14;4;233;75574321
19;14;156;15;3;230;60767604
20;14;163;14;3;223;60767604
21;15;166;13;3;219;60767604
22;14;171;13;4;215;60767604
23;13;175;13;4;212;60767604
24;14;180;12;4;206;60767604
25;14;187;10;4;199;60767604
26;12;195;11;5;193;60767604
27;11;200;11;5;189;60767604
28;10;203;12;6;187;60767604
29;10;209;12;6;181;60767604
30;10;213;11;6;177;60767604
31;9;219;12;7;172;60767604
32;8;225;13;8;167;60767604
33;8;231;13;8;161;60767604
34;8;237;12;8;155;60767604
35;6;243;17;10;151;60767604
36;6;248;17;10;146;60767604
37;6;254;17;10;140;60767604
38;6;259;18;10;135;60767604
39;6;263;19;10;131;60767604
40;6;269;19;10;125;60767604
