Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;10;20;48;0;370;57010223
2;10;29;46;0;361;57010223
3;11;39;42;0;350;57010223
4;12;44;39;0;344;57010223
5;12;52;38;0;336;57010223
6;12;59;37;0;329;57010223
7;12;67;35;0;321;57010223
8;12;74;34;0;314;57010223
9;12;81;33;0;307;57010223
10;12;87;32;0;301;57010223
11;12;95;30;0;293;57010223
12;12;101;29;0;287;57010223
13;12;107;28;0;281;57010223
14;12;113;27;0;275;57010223
15;12;120;26;0;268;57010223
16;12;126;25;0;262;57010223
17;11;131;27;13;258;57010223
18;11;137;26;13;252;57010223
19;12;142;24;13;246;57010223
20;13;145;23;13;242;57010223
21;14;148;21;13;238;57010223
22;14;150;21;13;236;57010223
23;14;154;20;13;232;57010223
24;16;158;19;13;226;57010223
25;16;162;18;13;222;57010223
26;13;166;22;10;221;72347032
