Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
2;10;30;46;0;360;52466222
2;10;30;46;0;360;52466222
3;12;39;40;0;349;52466222
4;13;48;37;0;339;52466222
5;13;58;35;0;329;52466222
6;13;66;33;0;321;52466222
7;13;74;32;0;313;52466222
8;13;80;31;0;307;52466222
9;13;87;29;0;300;52466222
10;13;93;28;0;294;52466222
11;14;99;26;0;287;52466222
12;14;105;25;0;281;52466222
13;14;110;24;0;276;52466222
14;14;116;23;0;270;52466222
15;13;121;24;11;266;52466222
16;15;128;21;11;257;52466222
17;16;135;19;11;249;47354032
18;17;142;17;11;241;47354032
19;18;150;16;9;232;47354032
20;18;157;14;9;225;47354032
21;18;164;13;9;218;47354032
22;19;169;11;7;212;47354032
23;18;175;11;6;207;47354032
24;16;179;12;5;205;52466222
25;16;184;11;6;200;52466222
26;12;190;14;6;198;32061003
27;12;194;14;6;194;32061003
28;11;196;15;8;193;32061003
29;12;201;14;8;187;32061003
30;11;204;15;8;185;32061003
31;10;209;17;10;181;32061003
32;10;216;17;11;174;32061003
33;11;219;15;11;170;32061003
34;11;224;15;11;165;32061003
35;10;229;16;11;161;32061003
36;9;233;18;11;158;32061003
37;9;238;17;11;153;32061003
38;9;244;17;11;147;32061003
39;7;249;22;10;144;6640740
40;7;255;22;10;138;6640740
41;7;260;22;10;133;6640740
42;7;264;22;10;129;6640740
43;7;270;22;10;123;6640740
44;7;277;21;10;116;6640740
45;7;282;21;10;111;6640740
46;7;287;22;10;106;6640740
47;7;291;22;10;102;6640740
48;7;296;22;10;97;6640740
49;7;300;23;10;93;6640740
50;7;304;23;10;89;6640740
51;7;307;24;10;86;6640740
52;7;311;25;10;82;6640740
53;8;316;23;10;76;6640740
54;9;319;23;10;72;6640740
55;9;322;24;10;69;6640740
56;9;326;24;10;65;6640740
57;9;328;24;10;63;6640740
58;9;329;25;10;62;6640740
59;9;330;26;10;61;6640740
60;9;333;27;10;58;6640740
61;10;338;25;10;52;6640740
62;10;339;26;10;51;6640740
63;10;339;27;10;51;6640740
64;11;340;26;10;49;6640740
65;12;342;25;10;46;6640740
66;13;343;24;10;44;6640740
67;14;342;23;10;44;6640740
68;15;341;22;10;44;7754032
69;16;339;21;10;45;7754032
70;16;334;21;10;50;7754032
71;16;330;22;10;54;7754032
72;15;328;24;10;57;7754032
73;16;327;23;10;57;7754032
74;18;327;21;10;55;6640740
75;19;327;22;10;54;6640740
76;18;326;23;9;56;6640740
77;18;325;23;9;57;6640740
78;18;326;23;9;56;60211770
79;18;325;23;9;57;60211770
80;18;324;23;9;58;60211770
81;19;323;22;9;58;60211770
82;16;320;26;9;64;60211770
83;16;319;26;9;65;60211770
84;17;316;26;9;67;60211770
85;18;313;26;9;69;60211770
86;19;309;26;9;72;60211770
