Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
0;5;15;20;0;80;[7656120]
2;5;45;16;0;52;[7656120]
3;5;58;15;0;40;[7656120]
4;5;70;16;0;25;[7656120]
5;5;80;18;0;18;[7656120]
6;5;94;16;0;4;[7656120]
7;5;100;18;0;0;[7656120]
8;5;100;20;0;0;[7656120]
9;6;100;20;0;0;[7656120]
10;7;100;19;0;0;[4010046]
11;8;100;19;0;0;[4010046]
12;9;100;19;0;0;[4010046]
13;10;100;19;0;0;[4010046]
14;10;100;21;0;0;[4010046]
15;11;100;22;0;0;[4010046]
16;11;100;24;0;0;[4010046]
17;11;100;26;0;0;[4010046]
18;11;100;28;0;0;[4010046]
19;12;100;28;0;0;[4010046]
20;13;100;29;0;0;[4010046]
21;14;100;29;0;0;[4010046]
22;15;100;30;0;0;[4010046]
23;17;100;29;0;0;[4010046]
24;19;100;29;0;0;[4010046]
25;23;100;26;0;0;[4010046]
26;26;97;25;0;0;[4402754]
27;30;95;23;0;1;[4402754]
28;38;91;21;0;1;[4402754]
29;46;89;18;3;0;[4402754]
30;55;83;17;4;2;[4402754]
31;58;81;16;2;0;[4402754]
32;71;73;15;2;3;[4010046]
33;76;69;15;2;8;[4010046]
34;83;68;14;2;4;[4010046]
35;91;57;14;2;14;[4010046]
35;97;46;13;2;17;[4010046]
37;120;49;11;2;12;[4010046]
38;121;47;11;2;17;[4010046]
39;133;40;11;2;18;[4010046]
40;151;34;9;2;16;[4010046]
41;162;33;9;2;17;[4010046]
42;166;31;9;2;16;[4010046]
43;184;29;8;2;18;[4010046]
44;194;28;7;2;18;[4010046]
45;192;24;8;2;21;[4010046]
46;199;19;7;2;20;[4010046]
47;211;20;7;3;18;[4010046]
48;202;19;7;3;16;[4010046]
49;202;16;6;3;18;[4010046]
50;216;19;6;3;27;[4010046]
51;215;17;5;3;21;[4010046]
52;200;17;5;3;16;[4010046]
53;198;17;5;3;18;[4010046]
54;195;17;5;3;25;[4010046]
55;177;17;5;3;21;[4010046]
56;173;20;5;3;19;[4010046]
57;150;19;6;3;26;[4010046]
58;144;20;6;3;31;[4010046]
59;137;23;6;3;32;[4010046]
60;132;26;6;3;26;[4010046]
61;134;25;6;3;25;[4010046]
62;127;25;6;3;28;[4010046]
63;125;25;6;3;28;[4010046]
64;112;24;6;3;28;[4010046]
65;107;23;6;3;39;[4010046]
66;104;20;6;3;46;[4010046]
67;101;28;6;3;38;[4010046]
68;93;30;6;3;36;[4402754]
69;91;29;6;3;36;[4010046]
70;84;34;7;3;35;[4402754]
71;89;34;7;3;35;[4402754]
72;88;36;7;3;33;[4010046]
73;88;36;7;3;35;[4010046]
74;82;34;7;3;36;[4402754]
75;80;32;8;3;36;[4010046]
76;82;32;7;3;41;[4010046]
77;85;32;7;3;38;[4402754]
78;87;33;7;3;32;[4402754]
79;94;33;6;3;38;[4402754]
80;88;29;7;3;35;[4402754]
81;92;32;6;3;34;[4402754]
82;90;30;7;3;35;[4402754]
83;90;33;6;3;28;[4010046]
84;94;32;6;3;36;[4010046]
