Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;5;30;18;0;66;[0417623]
2;5;43;17;0;55;[0417623]
3;5;57;16;0;39;[0417623]
4;5;70;16;0;25;[0417623]
5;6;83;14;0;13;[0417623]
6;6;94;14;0;4;[0417623]
7;7;100;14;0;0;[0417623]
8;8;100;14;0;0;[0417623]
9;9;100;14;0;0;[0417623]
10;9;100;16;0;0;[0417623]
11;9;100;18;0;0;[0417623]
12;10;100;19;0;0;[0417623]
13;10;100;21;0;0;[0417623]
14;10;100;23;0;0;[0417623]
15;11;100;23;0;0;[0417623]
16;12;100;23;0;0;[0500603]
17;13;100;23;0;0;[0500603]
18;15;100;23;0;0;[0500603]
19;17;100;23;0;0;[0500603]
20;21;100;21;0;0;[0500603]
21;25;100;19;0;0;[0500603]
22;31;97;18;0;0;[0500603]
23;38;94;17;1;1;[0500603]
24;44;85;16;1;3;[0500603]
25;50;77;15;1;4;[0500603]
