Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;10;20;48;0;370;45042535
2;10;28;46;0;362;45042535
3;10;38;44;0;352;45042535
4;10;47;42;0;343;45042535
5;10;55;41;0;335;45042535
6;10;63;40;0;327;45042535
7;10;70;39;0;320;45042535
8;10;78;37;0;312;45042535
9;10;87;35;0;303;45042535
10;10;95;34;0;295;45042535
11;10;101;33;0;289;45042535
12;10;107;32;0;283;45042535
13;10;113;32;0;277;45042535
14;10;119;31;0;271;45042535
15;10;124;30;0;266;45042535
16;10;130;30;0;260;45042535
17;10;135;29;0;255;45042535
