Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;11;20;45;0;369;4660200
2;12;29;41;0;359;4660200
3;12;39;39;0;349;4660200
4;12;49;37;0;339;4660200
5;12;58;36;0;330;4660200
6;12;66;34;0;322;4660200
7;12;75;32;0;313;4660200
8;12;82;31;0;306;4660200
9;12;89;30;0;299;4660200
10;12;97;28;0;291;4660200
11;12;105;27;0;283;4660200
12;12;113;25;0;275;4660200
13;12;121;24;0;267;4660200
14;12;131;23;12;257;4660200
15;12;135;23;12;253;4660200
16;11;140;24;12;249;4660200
17;12;146;22;12;242;4660200
18;12;153;21;12;235;4660200
19;12;157;20;12;231;4660200
20;12;162;19;12;226;4660200
21;12;165;19;12;223;4660200
22;12;169;19;12;219;4660200
23;14;174;17;12;212;7700243
24;13;177;18;10;210;4660200
25;14;184;15;10;202;16400243
26;16;186;14;10;198;16400243
27;15;191;14;8;194;16400243
28;14;196;15;10;190;67143462
29;11;200;19;11;189;67143462
30;12;205;17;11;183;67143462
31;13;208;16;11;179;67143462
32;13;212;16;13;175;67143462
33;15;214;14;13;171;67143462
34;15;216;14;15;169;67143462
35;13;220;16;13;167;67143462
36;13;224;15;13;163;67143462
37;12;226;17;14;162;67143462
38;12;231;17;16;157;67143462
39;13;233;17;16;154;67143462
40;14;237;16;16;149;67143462
41;17;240;14;16;143;67143462
42;18;239;13;16;143;67143462
43;18;239;13;16;143;67143462
44;17;239;13;16;144;67143462
45;16;238;14;15;146;67143462
46;15;239;15;15;146;67143462
47;16;240;15;15;144;67143462
48;17;242;14;14;141;67143462
49;19;242;13;14;139;67143462
50;21;238;12;14;141;67143462
51;21;234;13;14;145;67143462
52;20;233;13;13;147;67143462
53;20;237;12;12;143;67143462
54;19;237;13;12;144;67143462
55;20;238;12;11;142;67143462
56;19;237;12;11;144;67143462
