Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count
1;10;20;48;0;370
2;10;29;46;0;361
3;10;38;44;0;352
4;10;47;42;0;343
5;10;55;41;0;335
6;10;63;40;0;327
7;10;70;39;0;320
8;10;76;38;0;314
9;10;84;36;0;306
10;10;92;35;0;298
11;10;99;34;0;291
12;11;105;31;0;284
13;11;112;30;0;277
14;12;119;28;0;269
15;13;126;25;0;261
