Day Number;Animal count;Plants count;Average energy;Average Lifespan;Free fields count;Dominant genotype
1;10;20;48;0;370;4360537
2;10;29;46;0;361;4360537
3;10;38;44;0;352;4360537
4;10;48;42;0;342;4360537
5;10;58;40;0;332;4360537
6;10;66;39;0;324;4360537
7;10;74;37;0;316;4360537
8;10;83;36;0;307;4360537
9;10;91;34;0;299;4360537
10;10;97;33;0;293;4360537
11;10;101;33;0;289;4360537
12;10;108;32;0;282;4360537
13;10;114;31;0;276;4360537
14;10;119;31;0;271;4360537
15;11;124;29;0;265;4360537
16;11;130;28;0;259;4360537
17;11;135;27;0;254;4360537
18;11;144;25;0;245;4360537
19;12;150;23;0;238;4360537
20;12;158;22;0;230;4360537
21;12;163;21;0;225;4360537
22;12;171;19;0;217;4360537
23;12;177;18;0;211;4360537
24;11;184;19;4;205;4360537
25;11;188;19;4;201;4360537
26;13;197;16;4;190;4360537
27;14;202;16;7;184;16353375
28;15;205;15;7;180;7507605
29;17;208;14;7;175;7507605
30;18;210;13;7;172;7507605
31;21;215;10;7;164;7507605
32;21;216;10;19;163;7507605
33;19;216;11;10;165;7507605
34;19;216;12;11;165;7507605
35;21;215;11;11;164;7507605
36;20;216;11;9;164;7507605
37;19;218;11;8;163;17507605
38;19;221;11;8;160;5774214
39;20;222;10;7;158;7507605
40;20;223;10;7;157;7507605
41;16;224;13;9;160;11072553
42;17;229;13;9;154;11072553
43;17;233;12;9;150;11072553
44;15;238;13;8;147;11072553
45;14;239;14;8;147;7507605
46;13;240;15;8;147;7507605
47;13;242;16;8;145;7507605
48;14;242;16;8;144;65774214
49;16;242;14;8;142;65774214
50;17;239;15;8;144;65774214
51;18;236;15;8;146;65774214
52;19;235;15;8;146;65774214
53;20;236;13;8;144;5774214
54;21;240;12;8;139;5774214
55;22;238;12;8;140;65774214
56;22;237;13;8;141;65774214
57;26;235;11;8;139;65774214
58;25;233;12;9;142;65774214
